Rentrée scolaire;Académie;Code du département;Département;UAI;Nom de l'établissement;Nom de la commune;Code INSEE de la commune;Secteur;Effectifs;IPS;Ecart-type de l'IPS
2023-2024;REIMS;008;ARDENNES;0080910W;COLLEGE TURENNE;SEDAN;08409;public;307;83.6;27.0
2023-2024;REIMS;008;ARDENNES;0080925M;COLLEGE LEO LAGRANGE;CHARLEVILLE MEZIERES;08105;public;300;65.7;16.8
2023-2024;REIMS;008;ARDENNES;0081001V;COLLEGE JULES LEROUX;VILLERS SEMEUSE;08480;public;306;92.9;31.5
2023-2024;TOULOUSE;009;ARIEGE;0090546V;COLLEGE SABARTHES MONTCALM;TARASCON SUR ARIEGE;09306;public;441;98.1;31.1
2023-2024;REIMS;010;AUBE;0100005B;COLLEGE PUBLIC PAUL PORTIER;BAR SUR SEINE;10034;public;537;92.2;27.6
2023-2024;REIMS;010;AUBE;0100038M;COLLEGE LES JACOBINS;TROYES;10387;public;478;70.6;24.4
2023-2024;REIMS;010;AUBE;0100056G;COLLEGE PRIVE MARGUERITE BOURGEOYS;TROYES;10387;privé sous contrat;234;116.3;32.5
2023-2024;REIMS;010;AUBE;0100664T;COLLEGE PAUL LANGEVIN;SAINTE SAVINE;10362;public;610;107.6;34.7
2023-2024;REIMS;010;AUBE;0100785Z;COLLEGE PIERRE LABONDE;MERY SUR SEINE;10233;public;458;99.2;28.8
2023-2024;REIMS;010;AUBE;0100787B;COLLEGE PAUL LANGEVIN;ROMILLY SUR SEINE;10323;public;554;85.3;27.6
2023-2024;REIMS;010;AUBE;0100947A;COLLEGE PIERRE ET FRANCOIS PITHOU;TROYES;10387;public;478;84.4;32.0
2023-2024;REIMS;010;AUBE;0100961R;COLLEGE PRIVE SAINT FRANCOIS DE SALES;TROYES;10387;privé sous contrat;403;131.1;31.9
2023-2024;MONTPELLIER;011;AUDE;0110011C;COLLEGE BLAISE D AURIOL;CASTELNAUDARY;11076;public;357;104.4;30.3
2023-2024;MONTPELLIER;011;AUDE;0110026U;COLLEGE JULES FERRY;NARBONNE;11262;public;605;97.3;32.5
2023-2024;MONTPELLIER;011;AUDE;0110665N;COLLEGE VARSOVIE;CARCASSONNE;11069;public;693;105.0;32.9
2023-2024;MONTPELLIER;011;AUDE;0110666P;COLLEGE LE BASTION;CARCASSONNE;11069;public;553;101.2;33.2
2023-2024;MONTPELLIER;011;AUDE;0110672W;COLLEGE JULES VERNE;CARCASSONNE;11069;public;632;78.4;27.8
2023-2024;MONTPELLIER;011;AUDE;0110686L;COLLEGE JOSEPH ANGLADE;LEZIGNAN CORBIERES;11203;public;676;94.2;30.8
2023-2024;MONTPELLIER;011;AUDE;0110725D;COLLEGE LA NADIERE;PORT LA NOUVELLE;11266;public;359;90.3;27.0
2023-2024;MONTPELLIER;011;AUDE;0111034P;COLLEGE PRIVE L AMANDIER;LEZIGNAN CORBIERES;11203;privé sous contrat;272;101.5;25.0
2023-2024;TOULOUSE;012;AVEYRON;0120002M;COLLEGE VOLTAIRE;CAPDENAC GARE;12052;public;229;103.5;30.8
2023-2024;TOULOUSE;012;AVEYRON;0120004P;COLLEGE JEAN JAURES;CRANSAC;12083;public;131;86.5;25.2
2023-2024;TOULOUSE;012;AVEYRON;0120011X;COLLEGE PUBLIC PIERRE SOULAGES;MARCILLAC VALLON;12138;public;302;113.0;32.8
2023-2024;TOULOUSE;012;AVEYRON;0120068J;COLLEGE PRIVE SAINT LOUIS;REQUISTA;12197;privé sous contrat;67;104.2;25.9
2023-2024;TOULOUSE;012;AVEYRON;0120082Z;COLLEGE PRIVE SAINT LOUIS;CAPDENAC GARE;12052;privé sous contrat;145;103.9;29.9
2023-2024;TOULOUSE;012;AVEYRON;0120092K;COLLEGE PRIVE SAINT JOSEPH;MARCILLAC VALLON;12138;privé sous contrat;260;108.8;26.0
2023-2024;TOULOUSE;012;AVEYRON;0121213D;COLLEGE CARCO;VILLEFRANCHE DE ROUERGUE;12300;public;570;96.1;31.3
2023-2024;TOULOUSE;012;AVEYRON;0121255Z;COLLEGE PRIVE SAINT JOSEPH;VILLEFRANCHE DE ROUERGUE;12300;privé sous contrat;337;111.8;30.8
2023-2024;TOULOUSE;012;AVEYRON;0121297V;COLLEGE JEAN JAURES;SAINT AFFRIQUE;12208;public;415;100.1;31.8
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0130028K;COLLEGE DENIS MOUSTIER;GREASQUE;13046;public;914;123.2;34.0
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0130032P;COLLEGE COLLINES DURANCE;MALLEMORT;13053;public;562;113.0;32.2
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0130136C;COLLEGE VIEUX PORT;MARSEILLE 2E ARRONDISSEMENT;13202;public;286;71.4;25.0
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0130166K;COLLEGE LES HAUTS DE L ARC;TRETS;13110;public;491;113.5;36.4
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131261A;COLLEGE AUGUSTE RENOIR;MARSEILLE 13E ARRONDISSEMENT;13213;public;415;68.4;21.9
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131318M;COLLEGE PRIVE SAINT JOSEPH;AIX EN PROVENCE;13001;privé sous contrat;243;145.3;30.7
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131329Z;COLLEGE PRIVE NOTRE DAME DE LA VISTE;MARSEILLE 15E ARRONDISSEMENT;13215;privé sous contrat;334;100.5;27.2
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131372W;COLLEGE PRIVE SAINT JOSEPH;MARSEILLE 15E ARRONDISSEMENT;13215;privé sous contrat;347;86.1;24.0
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131382G;COLLEGE PRIVE PASTRE GRANDE BASTIDE;MARSEILLE 9E ARRONDISSEMENT;13209;privé sous contrat;400;130.1;27.8
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131602W;COLLEGE ROY D ESPAGNE;MARSEILLE 9E ARRONDISSEMENT;13209;public;609;94.8;36.3
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131700C;COLLEGE LE PESQUIER;GARDANNE;13041;public;589;110.2;35.1
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131703F;COLLEGE EDOUARD MANET;MARSEILLE 14E ARRONDISSEMENT;13214;public;559;60.6;16.1
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131706J;COLLEGE COMMANDANT COUSTEAU;ROGNAC;13081;public;688;107.8;30.2
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131711P;COLLEGE ROCHER DU DRAGON;AIX EN PROVENCE;13001;public;566;121.4;36.6
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131750G;COLLEGE LOUIS ARMAND;MARSEILLE 12E ARRONDISSEMENT;13212;public;642;92.2;30.2
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131756N;COLLEGE DARIUS MILHAUD;MARSEILLE 12E ARRONDISSEMENT;13212;public;590;85.6;31.1
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131885D;COLLEGE VALLON DES PINS;MARSEILLE 15E ARRONDISSEMENT;13215;public;629;62.0;19.2
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131927Z;COLLEGE HONORE DAUMIER;MARSEILLE 8E ARRONDISSEMENT;13208;public;511;117.0;35.2
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131931D;COLLEGE THIERS;MARSEILLE 1ER ARRONDISSEMENT;13201;public;255;108.2;43.1
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131932E;COLLEGE LONGCHAMP;MARSEILLE 1ER ARRONDISSEMENT;13201;public;874;104.9;45.6
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131943S;COLLEGE PIERRE PUGET;MARSEILLE 6E ARRONDISSEMENT;13206;public;384;96.9;36.3
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132205B;COLLEGE GASTON DEFFERRE;MARSEILLE 7E ARRONDISSEMENT;13207;public;490;113.1;38.7
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132208E;COLLEGE MARCEL PAGNOL;MARTIGUES;13056;public;431;85.1;29.9
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132313U;COLLEGE STEPHANE MALLARME;MARSEILLE 13E ARRONDISSEMENT;13213;public;326;71.6;20.7
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132326H;COLLEGE ALBERT CAMUS;MIRAMAS;13063;public;461;94.4;30.6
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132407W;COLLEGE JEAN MOULIN;MARSEILLE 15E ARRONDISSEMENT;13215;public;546;65.6;19.9
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132408X;COLLEGE JULES FERRY;MARSEILLE 15E ARRONDISSEMENT;13215;public;366;66.2;18.5
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132568W;COLLEGE MIGNET;AIX EN PROVENCE;13001;public;776;125.6;39.1
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132834K;COLLEGE CHARLES RIEU;SAINT MARTIN DE CRAU;13097;public;1082;107.8;32.5
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132908R;COLLEGE PRIVE YAVNE;MARSEILLE 13E ARRONDISSEMENT;13213;privé sous contrat;134;115.4;28.4
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132909S;COURS BASTIDE COLLEGE PRIVE;MARSEILLE 6E ARRONDISSEMENT;13206;privé sous contrat;375;133.9;26.1
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132923G;COLLEGE PRIVE CHEVREUL BLANCARDE;MARSEILLE 4E ARRONDISSEMENT;13204;privé sous contrat;540;142.0;29.4
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132946G;COLLEGE PRIVE SAINT CHARLES CAMAS;MARSEILLE 5E ARRONDISSEMENT;13205;privé sous contrat;469;115.9;34.5
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132954R;COLLEGE PRIVE SAINTE MARIE BLANCARDE;MARSEILLE 4E ARRONDISSEMENT;13204;privé sous contrat;358;139.9;27.6
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132956T;COLLEGE PRIVE DE LA TOUR SAINTE;MARSEILLE 14E ARRONDISSEMENT;13214;privé sous contrat;403;90.7;28.8
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132973L;COLLEGE SAINT EUTROPE;AIX EN PROVENCE;13001;public;570;117.4;39.0
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0133115R;COLLEGE MARIE MAURON;CABRIES;13019;public;600;137.8;33.2
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0133374X;COLLEGE PRIVE AMI;MARSEILLE 6E ARRONDISSEMENT;13206;privé sous contrat;216;129.9;33.0
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0133381E;COLLEGE LE PETIT PRINCE;GIGNAC LA NERTHE;13043;public;712;107.2;32.0
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0133397X;COLLEGE PRIVE DE LA CHESNERAIE;AIX EN PROVENCE;13001;privé sous contrat;447;140.1;26.6
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0133445Z;COLLEGE PRIVE VITAGLIANO;MARSEILLE 4E ARRONDISSEMENT;13204;privé sous contrat;66;101.4;27.5
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0133490Y;COLLEGE YVES MONTAND;ALLAUCH;13002;public;687;120.5;31.4
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0133510V;COLLEGE UBELKA;AURIOL;13007;public;714;120.9;33.6
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0133544G;COLLEGE PRIVE ORT LEON BRAMSON;MARSEILLE 10E ARRONDISSEMENT;13210;privé sous contrat;142;113.7;30.8
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0134022B;COLLEGE LOUISE MICHEL;MARSEILLE 10E ARRONDISSEMENT;13210;public;558;78.5;26.4
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0134245U;COLLEGE NOTRE DAME;MIRAMAS;13063;privé sous contrat;244;103.8;22.3
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0134431W;CLG CAROLINE AIGLE;LANCON PROVENCE;13051;public;522;117.3;35.0
2023-2024;NORMANDIE;014;CALVADOS;0140008H;COLLEGE VAL DE SOULEUVRE;SOULEUVRE EN BOCAGE;14061;public;363;96.2;29.5
2023-2024;NORMANDIE;014;CALVADOS;0140015R;COLLEGE PASTEUR;CAEN;14118;public;436;139.1;34.3
2023-2024;NORMANDIE;014;CALVADOS;0140025B;COLLEGE HASTINGS;CAEN;14118;public;509;114.3;34.1
2023-2024;NORMANDIE;014;CALVADOS;0140049C;COLLEGE CLEMENT MAROT;DOUVRES LA DELIVRANDE;14228;public;480;120.6;35.1
2023-2024;NORMANDIE;014;CALVADOS;0140050D;COLLEGE LOUIS PERGAUD;DOZULE;14229;public;307;98.2;26.2
2023-2024;NORMANDIE;014;CALVADOS;0140073D;COLLEGE LOTTIN DE LAVAL;ORBEC;14478;public;310;89.2;27.6
2023-2024;NORMANDIE;014;CALVADOS;0140087U;COLLEGE JACQUES PREVERT;VERSON;14738;public;666;121.9;34.5
2023-2024;NORMANDIE;014;CALVADOS;0140088V;COLLEGE SIMONE VEIL;VILLERS BOCAGE;14752;public;518;108.3;31.3
2023-2024;NORMANDIE;014;CALVADOS;0141159J;COLLEGE PRIVE INSTITUT SAINT PIERRE;CAEN;14118;privé sous contrat;511;134.2;30.4
2023-2024;NORMANDIE;014;CALVADOS;0141226G;COLLEGE PRIVE SAINTE THERESE;SAINT PIERRE EN AUGE;14654;privé sous contrat;383;112.4;27.3
2023-2024;NORMANDIE;014;CALVADOS;0141228J;COLLEGE PRIVE NOTRE DAME;THURY HARCOURT LE HOM;14689;privé sous contrat;270;109.2;30.4
2023-2024;NORMANDIE;014;CALVADOS;0141257R;COLLEGE DU VAL D AURE;ISIGNY SUR MER;14342;public;190;84.0;23.3
2023-2024;NORMANDIE;014;CALVADOS;0141764S;COLLEGE DES DOUITS;FALAISE;14258;public;807;100.4;33.6
2023-2024;NORMANDIE;014;CALVADOS;0141765T;COLLEGE ALPHONSE ALLAIS;HONFLEUR;14333;public;418;103.9;33.1
2023-2024;NORMANDIE;014;CALVADOS;0141767V;COLLEGE MAUPAS;VIRE NORMANDIE;14762;public;473;102.8;35.5
2023-2024;NORMANDIE;014;CALVADOS;0141812U;COLLEGE PRIVE SAINT LOUIS;CABOURG;14117;privé sous contrat;171;108.4;26.2
2023-2024;NORMANDIE;014;CALVADOS;0141964J;COLLEGE EMILE ZOLA;GIBERVILLE;14301;public;445;101.8;30.1
2023-2024;CLERMONT-FERRAND;015;CANTAL;0150010E;COLLEGE LOUIS PASTEUR;CHAUDES AIGUES;15045;public;114;103.1;22.9
2023-2024;CLERMONT-FERRAND;015;CANTAL;0150029A;COLLEGE BLAISE PASCAL;SAINT FLOUR;15187;public;336;99.4;25.8
2023-2024;CLERMONT-FERRAND;015;CANTAL;0150033E;COLLEGE JEAN DE LA FONTAINE;VIC SUR CERE;15258;public;163;107.3;29.2
2023-2024;CLERMONT-FERRAND;015;CANTAL;0150581A;COLLEGE JEAN DAUZIE;SAINT MAMET LA SALVETAT;15196;public;234;104.7;30.0
2023-2024;CLERMONT-FERRAND;015;CANTAL;0150639N;COLLEGE JEANNE DE LA TREILHE;AURILLAC;15014;public;313;116.9;33.8
2023-2024;CLERMONT-FERRAND;015;CANTAL;0150729L;COLLEGE LA PONETIE;AURILLAC;15014;public;431;102.8;29.6
2023-2024;POITIERS;016;CHARENTE;0160034A;COLLEGE CLAUDIE HAIGNERE;ROUILLAC;16286;public;378;96.5;28.8
2023-2024;POITIERS;016;CHARENTE;0160040G;COLLEGE EUGENE DELACROIX;SAINT AMANT DE BOIXE;16295;public;395;103.2;27.8
2023-2024;POITIERS;016;CHARENTE;0160106D;COLLEGE RENE CASSIN;GOND PONTOUVRE;16154;public;426;102.0;30.2
2023-2024;POITIERS;016;CHARENTE;0160863B;COLLEGE MAURICE GENEVOIX;CHATEAUNEUF SUR CHARENTE;16090;public;437;104.1;31.2
2023-2024;POITIERS;016;CHARENTE;0160895L;COLLEGE ANDRE MALRAUX;BAIGNES SAINTE RADEGONDE;16025;public;141;97.5;30.8
2023-2024;POITIERS;016;CHARENTE;0161048C;COLLEGE PRIVE SAINT PAUL;ANGOULEME;16015;privé sous contrat;622;124.4;29.0
2023-2024;POITIERS;016;CHARENTE;0161075G;COLLEGE PIERRE BODET;ANGOULEME;16015;public;391;96.6;36.8
2023-2024;POITIERS;017;CHARENTE-MARITIME;0170002K;COLLEGE ARLETTE GUIRADO;ARCHIAC;17016;public;291;99.1;26.3
2023-2024;POITIERS;017;CHARENTE-MARITIME;0170008S;COLLEGE LES VIEILLES VIGNES;COZES;17131;public;363;99.2;25.6
2023-2024;POITIERS;017;CHARENTE-MARITIME;0170011V;COLLEGE LEOPOLD DUSSAIGNE;JONZAC;17197;public;424;103.0;32.9
2023-2024;POITIERS;017;CHARENTE-MARITIME;0170049L;COLLEGE MAURICE CHASTANG;SAINT GENIS DE SAINTONGE;17331;public;303;99.0;30.7
2023-2024;POITIERS;017;CHARENTE-MARITIME;0170050M;COLLEGE RAYMOND BOUYER;SAINT HILAIRE DE VILLEFRANCHE;17344;public;278;94.3;27.2
2023-2024;POITIERS;017;CHARENTE-MARITIME;0170088D;COLLEGE MISSY;LA ROCHELLE;17300;public;538;118.9;37.9
2023-2024;POITIERS;017;CHARENTE-MARITIME;0170142M;COLLEGE ALBERT CAMUS;LA ROCHELLE;17300;public;319;103.7;33.3
2023-2024;POITIERS;017;CHARENTE-MARITIME;0170384A;COLLEGE PRIVE SAINTE MARIE SAINT JEAN BAPTISTE;ROYAN;17306;privé sous contrat;256;124.8;34.0
2023-2024;POITIERS;017;CHARENTE-MARITIME;0170390G;COLLEGE SAMUEL DUMENIEU;MONTENDRE;17240;public;432;94.8;28.1
2023-2024;POITIERS;017;CHARENTE-MARITIME;0171120A;COLLEGE HENRI DUNANT;ROYAN;17306;public;620;102.8;32.2
2023-2024;POITIERS;017;CHARENTE-MARITIME;0171184V;COLLEGE EUGENE FROMENTIN;LA ROCHELLE;17300;public;842;128.6;36.3
2023-2024;POITIERS;017;CHARENTE-MARITIME;0171211Z;COLLEGE ANDRE MALRAUX;CHATELAILLON PLAGE;17094;public;625;119.0;31.3
2023-2024;ORLEANS-TOURS;018;CHER;0180013S;COLLEGE AXEL KAHN;CHATEAUMEILLANT;18057;public;214;86.0;24.0
2023-2024;ORLEANS-TOURS;018;CHER;0180028H;COLLEGE VOLTAIRE;SAINT FLORENT SUR CHER;18207;public;632;102.9;31.1
2023-2024;ORLEANS-TOURS;018;CHER;0180567U;COLLEGE PRIVE SAINTE MARIE;NERONDES;18160;privé sous contrat;81;101.9;23.8
2023-2024;ORLEANS-TOURS;018;CHER;0180568V;COLLEGE PRIVE SAINT JEAN BAPTISTE DE LA SALLE;BOURGES;18033;privé sous contrat;98;96.4;34.1
2023-2024;ORLEANS-TOURS;018;CHER;0180644C;COLLEGE FERNAND LEGER;VIERZON;18279;public;480;98.5;29.0
2023-2024;ORLEANS-TOURS;018;CHER;0180732Y;COLLEGE JEAN ROSTAND;SAINT GERMAIN DU PUY;18213;public;459;93.7;29.8
2023-2024;LIMOGES;019;CORREZE;0190014M;COLLEGE JEAN LURCAT;BRIVE LA GAILLARDE;19031;public;694;99.4;31.9
2023-2024;LIMOGES;019;CORREZE;0190016P;COLLEGE BERNADETTE CHIRAC;CORREZE;19062;public;135;99.2;30.6
2023-2024;LIMOGES;019;CORREZE;0190025Z;COLLEGE JACQUES CHIRAC;MEYMAC;19136;public;198;98.8;29.1
2023-2024;LIMOGES;019;CORREZE;0190740B;COLLEGE D ARSONVAL;BRIVE LA GAILLARDE;19031;public;468;105.1;34.1
2023-2024;LIMOGES;019;CORREZE;0190821P;COLLEGE DE LA TRIOUZOUNE;NEUVIC;19148;public;128;111.0;34.9
2023-2024;DIJON;021;COTE D'OR;0210014B;COLLEGE FONTAINE DES DUCS;CHATILLON SUR SEINE;21154;public;451;92.0;29.3
2023-2024;DIJON;021;COTE D'OR;0210024M;COLLEGE CHAMPOLLION;DIJON;21231;public;459;100.9;34.7
2023-2024;DIJON;021;COTE D'OR;0211081L;COLLEGE PRIVE SAINT MICHEL;DIJON;21231;privé sous contrat;567;129.1;28.9
2023-2024;DIJON;021;COTE D'OR;0211136W;COLLEGE GASTON ROUPNEL;DIJON;21231;public;431;104.4;36.0
2023-2024;DIJON;021;COTE D'OR;0211164B;COLLEGE ALBERT CAMUS;GENLIS;21292;public;538;106.2;31.1
2023-2024;DIJON;021;COTE D'OR;0211358M;COLLEGE LES HAUTES PAILLES;ECHENON;21239;public;361;92.2;26.6
2023-2024;RENNES;022;COTES D'ARMOR;0220029M;COLLEGE PAUL SEBILLOT;MATIGNON;22143;public;215;96.5;26.5
2023-2024;RENNES;022;COTES D'ARMOR;0220038X;COLLEGE FRANCOIS RENE DE CHATEAUBRIAND;PLANCOET;22172;public;523;99.5;30.7
2023-2024;RENNES;022;COTES D'ARMOR;0220045E;COLLEGE FRANCOIS MARIE LUZEL;PLOUARET;22207;public;193;107.3;32.0
2023-2024;RENNES;022;COTES D'ARMOR;0220063Z;COLLEGE CAMILLE CLAUDEL;SAINT QUAY PORTRIEUX;22325;public;358;117.2;33.4
2023-2024;RENNES;022;COTES D'ARMOR;0220153X;COLLEGE PRIVE NOTRE DAME DE LA CLARTE;PLEMET;22183;privé sous contrat;100;99.7;27.7
2023-2024;RENNES;022;COTES D'ARMOR;0220154Y;COLLEGE PRIVE LA CROIX DE PIERRE;PLENEE JUGON;22185;privé sous contrat;86;105.0;23.4
2023-2024;RENNES;022;COTES D'ARMOR;0220157B;COLLEGE PRIVE SAINT PIERRE;PLOEUC L HERMITAGE;22203;privé sous contrat;184;101.3;23.4
2023-2024;RENNES;022;COTES D'ARMOR;0220177Y;COLLEGE PRIVE SAINT YVES;TREGUIER;22362;privé sous contrat;146;108.0;28.6
2023-2024;RENNES;022;COTES D'ARMOR;0221038J;COLLEGE EDOUARD HERRIOT;ROSTRENEN;22266;public;235;107.0;32.9
2023-2024;RENNES;022;COTES D'ARMOR;0221509W;COLLEGE DES LIVAUDIERES;LOUDEAC;22136;public;523;93.1;28.8
2023-2024;RENNES;022;COTES D'ARMOR;0221512Z;COLLEGE JEAN LOUIS HAMON;PLOUHA;22222;public;348;108.6;29.5
2023-2024;RENNES;022;COTES D'ARMOR;0221513A;COLLEGE LEONARD DE VINCI;SAINT BRIEUC;22278;public;589;92.2;30.2
2023-2024;RENNES;022;COTES D'ARMOR;0221538C;COLLEGE PER JAKEZ HELIAS;MERDRIGNAC;22147;public;227;94.9;26.0
2023-2024;RENNES;022;COTES D'ARMOR;0221619R;COLLEGE PRIVE IMMACULEE CONCEPTION;CREHEN;22049;privé sous contrat;369;106.7;26.8
2023-2024;RENNES;022;COTES D'ARMOR;0221743A;COLLEGE PRIVE LES CORDELIERS;DINAN;22050;privé sous contrat;436;122.3;31.0
2023-2024;RENNES;022;COTES D'ARMOR;0221748F;COLLEGE PRIVE SAINT NICOLAS JEAN XXIII;QUINTIN;22262;privé sous contrat;674;107.7;27.1
2023-2024;RENNES;022;COTES D'ARMOR;0221991V;COLLEGE MARIE JOSE CHOMBART DE LAUWE;PAIMPOL;22162;public;450;101.1;32.4
2023-2024;RENNES;022;COTES D'ARMOR;0221999D;COLLEGE SAINT YVES LA SALLE;SAINT BRIEUC;22278;privé sous contrat;189;104.1;29.3
2023-2024;RENNES;022;COTES D'ARMOR;0222030M;COLLEGE CHARLES DE GAULLE;HILLION;22081;public;720;108.6;31.1
2023-2024;LIMOGES;023;CREUSE;0230012N;COLLEGE;CHENERAILLES;23061;public;165;102.3;28.5
2023-2024;LIMOGES;023;CREUSE;0230028F;COLLEGE LOUIS DURAND;SAINT VAURY;23247;public;235;103.6;29.4
2023-2024;LIMOGES;023;CREUSE;0230507B;COLLEGE JEAN PICART LE DOUX;BOURGANEUF;23030;public;245;94.0;26.4
2023-2024;BORDEAUX;024;DORDOGNE;0240014K;COLLEGE GEORGES ET MARIE BOUSQUET;EYMET;24167;public;265;104.4;29.7
2023-2024;BORDEAUX;024;DORDOGNE;0240044T;COLLEGE HENRI BRETIN;NEUVIC;24309;public;293;97.8;29.4
2023-2024;BORDEAUX;024;DORDOGNE;0240047W;COLLEGE JEAN MOULIN;COULOUNIEIX CHAMIERS;24138;public;338;90.0;29.6
2023-2024;BORDEAUX;024;DORDOGNE;0240052B;COLLEGE ANNE FRANK;PERIGUEUX;24322;public;399;100.7;30.7
2023-2024;BORDEAUX;024;DORDOGNE;0240056F;COLLEGE DES TROIS VALLEES;VERGT;24571;public;384;98.3;27.9
2023-2024;BORDEAUX;024;DORDOGNE;0240065R;COLLEGE JEAN LADIGNAC;SAINT CYPRIEN;24396;public;253;96.9;26.8
2023-2024;BORDEAUX;024;DORDOGNE;0240073Z;COLLEGE MICHEL DEBET;TOCANE SAINT APRE;24553;public;260;101.1;32.0
2023-2024;BORDEAUX;024;DORDOGNE;0240119Z;COLLEGE EUGENE LE ROY;BERGERAC;24037;public;478;91.4;27.1
2023-2024;BORDEAUX;024;DORDOGNE;0240924Z;COLLEGE PRIVE NOTRE DAME;SIGOULES ET FLAUGEAC;24534;privé sous contrat;293;105.6;26.9
2023-2024;BORDEAUX;024;DORDOGNE;0240962R;COLLEGE PIERRE FANLAC;PAYS DE BELVES;24035;public;353;97.8;26.8
2023-2024;BORDEAUX;024;DORDOGNE;0241007P;COLLEGE GIRAUT DE BORNEIL;EXCIDEUIL;24164;public;275;100.6;29.9
2023-2024;BORDEAUX;024;DORDOGNE;0241011U;COLLEGE ARNAUT DANIEL;RIBERAC;24352;public;323;94.5;29.9
2023-2024;BORDEAUX;024;DORDOGNE;0241042C;COLLEGE BERTRAN DE BORN;PERIGUEUX;24322;public;622;115.5;32.9
2023-2024;BESANCON;025;DOUBS;0250003T;COLLEGE JEAN BAUHIN;AUDINCOURT;25031;public;582;79.6;28.2
2023-2024;BESANCON;025;DOUBS;0250016G;COLLEGE LOUIS BONNEMAILLE;PAYS DE CLERVAL;25156;public;147;94.7;32.7
2023-2024;BESANCON;025;DOUBS;0250018J;COLLEGE EMILE LAROUE;FRASNE;25259;public;329;95.5;29.4
2023-2024;BESANCON;025;DOUBS;0250049T;COLLEGE FELIX GAFFIOT;QUINGEY;25475;public;393;111.7;33.1
2023-2024;BESANCON;025;DOUBS;0250050U;COLLEGE LES VILLANELLES;ROUGEMONT;25505;public;281;103.0;31.3
2023-2024;BESANCON;025;DOUBS;0250055Z;COLLEGE HENRI FERTET;SANCEY;25529;public;163;98.2;32.3
2023-2024;BESANCON;025;DOUBS;0251053J;COLLEGE PRIVE SAINT JOSEPH;MAICHE;25356;privé sous contrat;394;86.9;23.3
2023-2024;BESANCON;025;DOUBS;0251055L;COLLEGE PRIVE SAINTE MARIE SAINT MICHEL;ORNANS;25434;privé sous contrat;262;106.3;27.1
