numero_uai,date_ouverture,date_fermeture,nature_uai,nature_uai_libe
0340702D,1965-07-10,1990-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0340760S,1965-07-10,1988-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0340804P,1965-07-10,1981-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0340808U,1965-07-10,1982-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0340822J,1965-07-10,2013-08-31,101,ECOLE MATERNELLE
0340842F,1966-09-21,1980-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0340844H,1966-09-21,1979-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0340901V,1967-03-03,1983-08-31,302,LYCEE D ENSEIGNEMENT GENERAL
0340915K,1967-03-04,1981-05-06,320,LYCEE PROFESSIONNEL
0340922T,1967-03-04,2020-08-31,320,LYCEE PROFESSIONNEL
0340962L,1977-05-18,2022-08-31,101,ECOLE MATERNELLE
0340964N,1977-05-18,1991-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0340980F,1968-09-25,1993-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0341016V,1969-07-11,1994-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0341069C,1977-06-06,1993-10-31,302,LYCEE D ENSEIGNEMENT GENERAL
0341077L,1970-06-02,1991-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0341156X,1971-03-26,2016-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0341157Y,1971-03-26,1978-01-18,151,ECOLE DE NIVEAU ELEMENTAIRE
0341165G,1971-03-26,2013-08-31,101,ECOLE MATERNELLE
0341173R,1971-03-26,1982-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0341182A,1971-03-26,2006-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0341224W,1971-03-26,1980-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0341225X,1971-03-26,1996-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0341226Y,1971-03-26,1982-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
