Code INSEE,Type local,Valeur fonciere
02027,Maison,77633.33333333333
02028,Maison,118542.03636363638
02029,Maison,175500.0
02030,Maison,98625.0
02031,Maison,64142.857142857145
02032,Maison,82250.0
02033,Maison,166442.5
02034,Maison,75802.0
02035,Maison,155200.0
02037,Maison,169652.9411764706
02038,Maison,113634.0
02040,Maison,157700.0
02041,Maison,125925.0
02042,Maison,108400.0
02044,Maison,57500.0
02046,Maison,129750.0
02048,Maison,150000.0
02049,Maison,115250.0
02050,Maison,110000.0
02051,Maison,72876.0
02052,Maison,158900.0
02053,Maison,169012.5
02054,Maison,70360.0
02055,Maison,98250.0
02056,Maison,80380.0
02057,Maison,63145.0
02058,Appartement,63410.0
02058,Maison,183058.33333333334
02059,Appartement,75685.71428571429
02059,Maison,110796.7741935484
02060,Maison,121000.0
02061,Maison,121050.0
02062,Maison,192320.0
02063,Maison,185033.33333333334
02064,Appartement,190000.0
02064,Maison,139270.97970588235
02065,Maison,101400.0
02066,Maison,100000.0
02067,Maison,147333.33333333334
02068,Maison,120361.66666666667
02070,Maison,83833.33333333333
02071,Maison,151300.0
02072,Maison,53300.0
02073,Maison,180431.25
02074,Maison,107898.88888888889
02075,Maison,144333.33333333334
02076,Maison,240000.0
02078,Maison,131450.0
02079,Maison,80666.66666666667
02080,Maison,173000.0
02081,Maison,132750.0
02082,Maison,66666.66666666667
02083,Maison,153833.33333333334
02084,Maison,208000.0
02085,Maison,152875.0
02086,Maison,108846.66666666667
02087,Maison,61908.0
02088,Maison,110000.0
02089,Maison,147060.0
02090,Maison,151000.0
02091,Maison,100000.0
02093,Appartement,116850.0
02093,Maison,154154.54545454544
02094,Appartement,110000.0
02094,Maison,208500.0
02095,Appartement,129166.66666666667
02095,Maison,64264.07894736842
02096,Maison,70550.0
02097,Maison,117500.0
02098,Maison,196000.0
02099,Maison,384666.6666666667
02100,Maison,122400.0
02101,Maison,212000.0
02103,Appartement,100000.0
02103,Maison,63581.0
02104,Maison,93166.66666666667
02105,Maison,116738.57142857143
02106,Maison,131251.0
02108,Maison,123025.0
02109,Maison,96112.0
02110,Appartement,46000.0
02110,Maison,139331.25
02111,Maison,160410.0
02112,Maison,91833.33333333333
02114,Appartement,355000.0
02114,Maison,166223.07692307694
02115,Maison,94512.5
02116,Maison,113333.33333333333
02119,Maison,131500.0
02120,Maison,55500.0
02121,Maison,113250.0
02123,Maison,102000.0
02124,Maison,119642.85714285714
02125,Maison,185166.66666666666
02126,Maison,92766.66666666667
02127,Maison,151750.0
02128,Maison,146496.24242424243
02130,Maison,107026.0
02131,Maison,135275.0
02132,Maison,125000.0
02133,Maison,86409.09090909091
02134,Maison,99587.5
02135,Appartement,35000.0
02135,Maison,72754.54545454546
02137,Maison,209000.0
02139,Maison,152075.0
02140,Maison,130033.33333333333
02141,Appartement,105000.0
02141,Maison,84736.9052631579
02142,Maison,225000.0
02143,Maison,61750.0
02144,Maison,191132.0
02145,Maison,162891.66666666666
02148,Maison,146666.66666666666
02150,Maison,197500.0
02151,Maison,175280.0
02152,Maison,178000.0
02153,Maison,159363.07692307694
02154,Maison,38000.0
02155,Maison,171962.5
02156,Maison,112475.0
02157,Maison,132200.0
02158,Maison,107800.0
02159,Maison,129000.0
02160,Maison,44650.0
02162,Maison,118285.71428571429
02163,Appartement,57500.0
02163,Maison,209223.07692307694
02164,Maison,109000.0
02165,Appartement,324000.0
02165,Maison,116046.42857142857
02166,Maison,126541.66666666667
02167,Maison,139760.0
02168,Appartement,276855.52040816325
02168,Maison,213033.4358974359
02170,Maison,151600.0
02171,Maison,63900.0
02172,Maison,124500.0
02173,Appartement,123934.60784313726
02173,Maison,110814.35767123288
02174,Maison,152083.33333333334
02177,Maison,136766.66666666666
02178,Maison,60000.0
02179,Maison,149416.66666666666
02180,Maison,116790.90909090909
02181,Maison,96625.0
02182,Maison,70750.0
02184,Maison,71475.0
02185,Maison,176581.25
02186,Appartement,165964.54545454544
02186,Maison,168714.2857142857
02187,Appartement,303750.0
02187,Maison,161263.33333333334
02188,Maison,101625.0
02189,Maison,72050.0
02190,Appartement,421857.14285714284
02190,Maison,439500.0
02191,Maison,79700.0
02192,Maison,183750.0
02193,Maison,55000.0
02194,Maison,40000.0
02195,Maison,106100.0
02196,Maison,131420.0
02197,Maison,117466.66666666667
02198,Maison,175250.0
02199,Maison,117544.0
02200,Maison,212500.0
02201,Maison,143333.33333333334
02203,Maison,149340.0
02204,Maison,113000.0
02205,Maison,102500.0
02207,Maison,126700.0
02208,Maison,116402.5
02209,Appartement,63250.0
